report_id,week_number,firm_rate,firm_id,last_changed_date,
459,202514,10.9,17,2025-04-24,
460,202514,11.9,18,2025-04-24,
461,202514,10.8,19,2025-04-24,
462,202514,13.8,20,2025-04-24,
463,202514,13.7,21,2025-04-24,
464,202514,12.3,22,2025-04-24,
465,202514,10.6,23,2025-04-24,
466,202514,9.7,24,2025-04-24,
467,202514,12.2,25,2025-04-24,
468,202514,13.1,26,2025-04-24,
469,202514,12.5,27,2025-04-24,
470,202514,13.3,28,2025-04-24,
471,202514,11.8,29,2025-04-24,
472,202514,7.5,30,2025-04-24,
473,202514,7.3,31,2025-04-24,
474,202514,10.4,32,2025-04-24,
475,202514,8.6,33,2025-04-24,
476,202514,10.8,34,2025-04-24,
477,202515,10.4,1,2025-04-24,
478,202515,11.2,2,2025-04-24,
479,202515,12.4,3,2025-04-24,
480,202515,12.4,4,2025-04-24,
481,202515,12.7,5,2025-04-24,
482,202515,11.2,6,2025-04-24,
483,202515,11.7,7,2025-04-24,
484,202515,15,8,2025-04-24,
485,202515,11.9,9,2025-04-24,
486,202515,12.7,10,2025-04-24,
487,202515,5.7,11,2025-04-24,
488,202515,13.9,12,2025-04-24,
489,202515,11.8,13,2025-04-24,
490,202515,11.5,14,2025-04-24,
491,202515,10.3,15,2025-04-24,
492,202515,16.3,16,2025-04-24,
493,202515,10.8,17,2025-04-24,
494,202515,11.8,18,2025-04-24,
495,202515,10.8,19,2025-04-24,
496,202515,13.7,20,2025-04-24,
497,202515,13.4,21,2025-04-24,
498,202515,12.4,22,2025-04-24,
499,202515,10.5,23,2025-04-24,
500,202515,9.7,24,2025-04-24,
501,202515,12.2,25,2025-04-24,
502,202515,13.1,26,2025-04-24,
503,202515,12.4,27,2025-04-24,
504,202515,13.3,28,2025-04-24,
505,202515,11.8,29,2025-04-24,
506,202515,7.6,30,2025-04-24,
507,202515,7.4,31,2025-04-24,
508,202515,10.2,32,2025-04-24,
509,202515,8.5,33,2025-04-24,
510,202515,10.8,34,2025-04-24,
511,202516,9.64,1,2025-04-24,
512,202516,11.08,2,2025-04-24,
513,202516,11.61,3,2025-04-24,
514,202516,12.16,4,2025-04-24,
515,202516,12.43,5,2025-04-24,
516,202516,10.85,6,2025-04-24,
517,202516,10.56,7,2025-04-24,
518,202516,14.89,8,2025-04-24,
519,202516,11.52,9,2025-04-24,
520,202516,12.64,10,2025-04-24,
521,202516,5.68,11,2025-04-24,
522,202516,13.16,12,2025-04-24,
523,202516,11.47,13,2025-04-24,
524,202516,13.06,14,2025-04-24,
525,202516,10.15,15,2025-04-24,
526,202516,13.87,16,2025-04-24,
527,202516,10.44,17,2025-04-24,
528,202516,11.74,18,2025-04-24,
529,202516,10.8,19,2025-04-24,
530,202516,13.82,20,2025-04-24,
531,202516,13.24,21,2025-04-24,
532,202516,11.85,22,2025-04-24,
533,202516,9.98,23,2025-04-24,
534,202516,9.66,24,2025-04-24,
535,202516,12.69,25,2025-04-24,
536,202516,13.06,26,2025-04-24,
537,202516,12.32,27,2025-04-24,
538,202516,13.44,28,2025-04-24,
539,202516,11.78,29,2025-04-24,
540,202516,7.58,30,2025-04-24,
541,202516,7.36,31,2025-04-24,
542,202516,10.1,32,2025-04-24,
543,202516,8.5,33,2025-04-24,
544,202516,10.8,34,2025-04-24,
545,202517,9.70,1,2025-04-29,
546,202517,10.60,2,2025-04-29,
547,202517,11.60,3,2025-04-29,
548,202517,12.80,4,2025-04-29,
549,202517,12.10,5,2025-04-29,
550,202517,10.60,6,2025-04-29,
551,202517,10.50,7,2025-04-29,
552,202517,13.90,8,2025-04-29,
553,202517,11.40,9,2025-04-29,
554,202517,12.60,10,2025-04-29,
555,202517,5.50,11,2025-04-29,
556,202517,13.00,12,2025-04-29,
557,202517,11.40,13,2025-04-29,
558,202517,13.00,14,2025-04-29,
559,202517,9.70,15,2025-04-29,
560,202517,13.90,16,2025-04-29,
561,202517,10.40,17,2025-04-29,
562,202517,11.50,18,2025-04-29,
563,202517,10.20,19,2025-04-29,
564,202517,13.80,20,2025-04-29,
565,202517,13.10,21,2025-04-29,
566,202517,11.90,22,2025-04-29,
567,202517,10.00,23,2025-04-29,
568,202517,9.40,24,2025-04-29,
569,202517,12.60,25,2025-04-29,
570,202517,13.10,26,2025-04-29,
571,202517,12.30,27,2025-04-29,
572,202517,13.50,28,2025-04-29,
573,202517,11.40,29,2025-04-29,
574,202517,7.20,30,2025-04-29,
575,202517,7.40,31,2025-04-29,
576,202517,10.00,32,2025-04-29,
577,202517,8.40,33,2025-04-29,
578,202517,10.80,34,2025-04-29,
