report_id,week_number,firm_rate,firm_id,last_changed_date
266,202508,13.4,28,4/24/2025
267,202508,12.5,29,4/24/2025
268,202508,9.2,30,4/24/2025
269,202508,9.5,31,4/24/2025
270,202508,10.5,32,4/24/2025
271,202508,8.9,33,4/24/2025
272,202508,10.9,34,4/24/2025
273,202509,10.9,1,4/24/2025
274,202509,11,2,4/24/2025
275,202509,12.2,3,4/24/2025
276,202509,13.8,4,4/24/2025
277,202509,12.8,5,4/24/2025
278,202509,11.2,6,4/24/2025
279,202509,11.8,7,4/24/2025
280,202509,16.1,8,4/24/2025
281,202509,12.5,9,4/24/2025
282,202509,12.6,10,4/24/2025
283,202509,6.8,11,4/24/2025
284,202509,14.9,12,4/24/2025
285,202509,12.1,13,4/24/2025
286,202509,12.6,14,4/24/2025
287,202509,13.3,15,4/24/2025
288,202509,16.3,16,4/24/2025
289,202509,11.7,17,4/24/2025
290,202509,12,18,4/24/2025
291,202509,11,19,4/24/2025
292,202509,14.9,20,4/24/2025
293,202509,14.9,21,4/24/2025
294,202509,12.6,22,4/24/2025
295,202509,15.2,23,4/24/2025
296,202509,9.8,24,4/24/2025
297,202509,12.4,25,4/24/2025
298,202509,15.5,26,4/24/2025
299,202509,12.6,27,4/24/2025
300,202509,13.4,28,4/24/2025
301,202509,12.3,29,4/24/2025
302,202509,9.1,30,4/24/2025
303,202509,7.5,31,4/24/2025
304,202509,10.5,32,4/24/2025
305,202509,8.9,33,4/24/2025
306,202509,10.9,34,4/24/2025
307,202510,10.68,1,4/24/2025
308,202510,11.11,2,4/24/2025
309,202510,12.26,3,4/24/2025
310,202510,14.09,4,4/24/2025
311,202510,12.75,5,4/24/2025
312,202510,11.2,6,4/24/2025
313,202510,11.86,7,4/24/2025
314,202510,16.04,8,4/24/2025
315,202510,12.38,9,4/24/2025
316,202510,12.81,10,4/24/2025
317,202510,6.83,11,4/24/2025
318,202510,14.61,12,4/24/2025
319,202510,12.17,13,4/24/2025
320,202510,12.61,14,4/24/2025
321,202510,12.8,15,4/24/2025
322,202510,16.25,16,4/24/2025
323,202510,11.43,17,4/24/2025
324,202510,11.99,18,4/24/2025
325,202510,11.2,19,4/24/2025
326,202510,14.33,20,4/24/2025
327,202510,14.66,21,4/24/2025
328,202510,12.49,22,4/24/2025
329,202510,15.24,23,4/24/2025
330,202510,9.68,24,4/24/2025
331,202510,11.95,25,4/24/2025
332,202510,15.51,26,4/24/2025
333,202510,12.5,27,4/24/2025
334,202510,13.5,28,4/24/2025
335,202510,12.32,29,4/24/2025
336,202510,8.89,30,4/24/2025
337,202510,7.31,31,4/24/2025
338,202510,10.5,32,4/24/2025
339,202510,8.9,33,4/24/2025
340,202510,10.9,34,4/24/2025
341,202511,10.7,1,4/24/2025
